date,Region,County,market,latitude,longitude,category,commodity,unit,price
2/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans,KG,39.48
2/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans (dry),90 KG,3400.0
2/15/2006,Eastern,KITUI,Kitui,-1.37,38.02,cereals and tubers,Maize (white),KG,18.0
2/15/2006,Eastern,MARSABIT,Marsabit,2.33,37.98,cereals and tubers,Maize (white),KG,22.0
2/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Bread,400 G,26.0
2/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Maize,KG,16.41
2/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Potatoes (Irish),50 KG,694.44
2/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Sorghum,90 KG,2260.0
2/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,milk and dairy,"Milk (cow, pasteurized)",500 ML,25.0
2/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,oil and fats,Oil (vegetable),L,120.0
2/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,pulses and nuts,Beans,KG,47.1
2/15/2006,North Eastern,MANDERA,Mandera,3.94,41.86,cereals and tubers,Maize (white),KG,29.0
2/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Maize (white),90 KG,1456.0
2/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Potatoes (Irish),50 KG,1184.99
2/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Sorghum,90 KG,1600.0
2/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,pulses and nuts,Beans,KG,42.79
2/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,pulses and nuts,Beans (dry),90 KG,4000.0
2/15/2006,Rift Valley,TURKANA,Lodwar (Turkana),3.12,35.6,cereals and tubers,Maize (white),KG,28.0
2/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Maize,KG,13.12
2/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Potatoes (Irish),50 KG,1038.33
2/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Sorghum,90 KG,1504.0
2/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,pulses and nuts,Beans,KG,44.02
2/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,pulses and nuts,Beans (dry),90 KG,3150.0
3/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,cereals and tubers,Maize,KG,16.98
3/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans,KG,44.69
3/15/2006,Eastern,KITUI,Kitui,-1.37,38.02,cereals and tubers,Maize (white),KG,18.0
3/15/2006,Eastern,KITUI,Kitui,-1.37,38.02,cereals and tubers,Potatoes (Irish),50 KG,1722.21
3/15/2006,Eastern,KITUI,Kitui,-1.37,38.02,cereals and tubers,Sorghum,90 KG,2000.0
3/15/2006,Eastern,MARSABIT,Marsabit,2.33,37.98,cereals and tubers,Maize (white),KG,22.0
3/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Bread,400 G,26.0
3/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Maize,KG,16.91
3/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Maize (white),90 KG,1500.0
3/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Potatoes (Irish),50 KG,961.11
3/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Sorghum,90 KG,2250.0
3/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,pulses and nuts,Beans,KG,42.31
3/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,pulses and nuts,Beans (dry),90 KG,3760.0
3/15/2006,North Eastern,MANDERA,Mandera,3.94,41.86,cereals and tubers,Maize (white),KG,27.0
3/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Sorghum,90 KG,1595.0
3/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,pulses and nuts,Beans,KG,54.52
3/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Maize,KG,13.31
3/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Maize (white),90 KG,1162.22
3/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Potatoes (Irish),50 KG,875.97
3/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,pulses and nuts,Beans,KG,50.54
3/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,pulses and nuts,Beans (dry),90 KG,3305.0
4/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,cereals and tubers,Maize,KG,17.17
4/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,cereals and tubers,Maize (white),90 KG,1595.0
4/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans (dry),90 KG,3995.0
4/15/2006,Eastern,KITUI,Kitui,-1.37,38.02,cereals and tubers,Sorghum,90 KG,2000.0
4/15/2006,Eastern,KITUI,Kitui,-1.37,38.02,pulses and nuts,Beans (dry),KG,53.0
4/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Bread,400 G,26.0
4/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Sorghum,90 KG,2310.0
4/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,milk and dairy,"Milk (cow, pasteurized)",500 ML,25.0
4/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,oil and fats,Oil (vegetable),L,110.0
4/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,pulses and nuts,Beans,KG,47.1
4/15/2006,North Eastern,MANDERA,Mandera,3.94,41.86,cereals and tubers,Maize (white),KG,28.0
4/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Maize,KG,16.6
4/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Maize (white),90 KG,1520.0
4/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Potatoes (Irish),50 KG,1911.11
4/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Sorghum,90 KG,1600.0
4/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,pulses and nuts,Beans,KG,50.15
4/15/2006,Rift Valley,TURKANA,Lodwar (Turkana),3.12,35.6,cereals and tubers,Maize (white),KG,30.0
4/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Maize,KG,14.19
4/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Potatoes (Irish),50 KG,796.1
4/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,pulses and nuts,Beans (dry),90 KG,3060.0
5/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,cereals and tubers,Maize,KG,19.12
5/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans (dry),90 KG,3978.95
5/15/2006,Eastern,KITUI,Kitui,-1.37,38.02,cereals and tubers,Maize (white),KG,22.0
5/15/2006,Eastern,KITUI,Kitui,-1.37,38.02,pulses and nuts,Beans (dry),KG,51.0
5/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Bread,400 G,26.0
5/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Maize (white),90 KG,1624.76
5/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Sorghum,90 KG,2014.29
5/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,milk and dairy,"Milk (cow, pasteurized)",500 ML,25.0
5/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,oil and fats,Oil (vegetable),L,120.0
5/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,pulses and nuts,Beans,KG,49.72
5/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,pulses and nuts,Beans (dry),90 KG,4505.0
5/15/2006,North Eastern,MANDERA,Mandera,3.94,41.86,cereals and tubers,Maize (white),KG,25.0
5/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Maize,KG,18.77
5/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Maize (white),90 KG,1720.0
5/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Sorghum,90 KG,1400.0
5/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,pulses and nuts,Beans,KG,48.09
5/15/2006,Rift Valley,TURKANA,Lodwar (Turkana),3.12,35.6,cereals and tubers,Maize (white),KG,26.0
5/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Maize,KG,15.58
5/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Potatoes (Irish),50 KG,690.05
5/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,pulses and nuts,Beans,KG,53.6
5/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,pulses and nuts,Beans (dry),90 KG,3311.0
6/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,cereals and tubers,Maize,KG,20.1
6/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,cereals and tubers,Maize (white),90 KG,1814.75
6/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans,KG,28.23
6/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans (dry),90 KG,2706.25
6/15/2006,Eastern,KITUI,Kitui,-1.37,38.02,cereals and tubers,Maize (white),KG,22.0
6/15/2006,Eastern,MARSABIT,Marsabit,2.33,37.98,cereals and tubers,Maize (white),KG,20.0
6/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Bread,400 G,26.0
6/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Maize,KG,16.96
6/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Maize (white),90 KG,1550.91
6/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Potatoes (Irish),50 KG,861.1
6/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,milk and dairy,"Milk (cow, pasteurized)",500 ML,22.0
6/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,pulses and nuts,Beans,KG,33.07
6/15/2006,North Eastern,MANDERA,Mandera,3.94,41.86,cereals and tubers,Maize (white),KG,22.0
6/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Maize,KG,19.3
6/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Sorghum,90 KG,1220.0
6/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,pulses and nuts,Beans (dry),90 KG,3340.0
6/15/2006,Rift Valley,TURKANA,Lodwar (Turkana),3.12,35.6,cereals and tubers,Maize (white),KG,27.0
6/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Maize,KG,17.03
6/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Sorghum,90 KG,1322.22
6/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,pulses and nuts,Beans,KG,46.06
6/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,pulses and nuts,Beans (dry),90 KG,2978.0
7/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,cereals and tubers,Maize (white),90 KG,1695.0
7/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans,KG,30.15
7/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans (dry),90 KG,2750.0
7/15/2006,Eastern,KITUI,Kitui,-1.37,38.02,cereals and tubers,Maize (white),KG,22.0
7/15/2006,Eastern,KITUI,Kitui,-1.37,38.02,pulses and nuts,Beans (dry),KG,51.0
7/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Bread,400 G,26.0
7/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Maize,KG,18.61
7/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Potatoes (Irish),50 KG,662.22
7/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Sorghum,90 KG,1680.0
7/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,oil and fats,Oil (vegetable),L,115.0
7/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,pulses and nuts,Beans (dry),90 KG,2760.0
7/15/2006,North Eastern,MANDERA,Mandera,3.94,41.86,cereals and tubers,Maize (white),KG,23.0
7/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Maize,KG,17.26
7/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Maize (white),90 KG,1533.33
7/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Potatoes (Irish),50 KG,455.55
7/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Sorghum,90 KG,1450.0
7/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,pulses and nuts,Beans,KG,34.77
7/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,pulses and nuts,Beans (dry),90 KG,3200.0
7/15/2006,Rift Valley,TURKANA,Lodwar (Turkana),3.12,35.6,cereals and tubers,Maize (white),KG,26.0
7/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Maize (white),90 KG,1550.0
7/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Potatoes (Irish),50 KG,333.32
7/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Sorghum,90 KG,1000.0
7/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,pulses and nuts,Beans,KG,41.43
7/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,pulses and nuts,Beans (dry),90 KG,2260.0
8/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,cereals and tubers,Maize,KG,15.31
8/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,cereals and tubers,Maize (white),90 KG,1131.25
8/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans,KG,30.59
8/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans (dry),90 KG,2798.75
8/15/2006,Eastern,KITUI,Kitui,-1.37,38.02,pulses and nuts,Beans (dry),KG,42.0
8/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Maize,KG,17.5
8/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Potatoes (Irish),50 KG,555.55
8/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Sorghum,90 KG,1668.75
8/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,milk and dairy,"Milk (cow, pasteurized)",500 ML,20.0
8/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,oil and fats,Oil (vegetable),L,120.0
8/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,pulses and nuts,Beans,KG,30.59
8/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,pulses and nuts,Beans (dry),90 KG,2888.0
8/15/2006,North Eastern,MANDERA,Mandera,3.94,41.86,cereals and tubers,Maize (white),KG,23.0
8/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Maize,KG,15.24
8/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Maize (white),90 KG,1231.0
8/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,pulses and nuts,Beans,KG,30.12
8/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,pulses and nuts,Beans (dry),90 KG,2777.0
8/15/2006,Rift Valley,TURKANA,Lodwar (Turkana),3.12,35.6,cereals and tubers,Maize (white),KG,27.0
8/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Maize,KG,17.08
8/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Maize (white),90 KG,1529.5
8/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Potatoes (Irish),50 KG,468.51
8/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,pulses and nuts,Beans,KG,29.39
9/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,cereals and tubers,Maize,KG,11.77
9/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans,KG,32.57
9/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans (dry),90 KG,3043.75
9/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Bread,400 G,26.0
9/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Maize,KG,14.8
9/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Maize (white),90 KG,1278.0
9/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Potatoes (Irish),50 KG,582.22
9/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Sorghum,90 KG,1905.0
9/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,milk and dairy,"Milk (cow, pasteurized)",500 ML,20.0
9/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,oil and fats,Oil (vegetable),L,120.0
9/15/2006,North Eastern,MANDERA,Mandera,3.94,41.86,cereals and tubers,Maize (white),KG,22.0
9/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Maize,KG,13.6
9/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Maize (white),90 KG,1242.0
9/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,pulses and nuts,Beans,KG,30.74
9/15/2006,Rift Valley,TURKANA,Lodwar (Turkana),3.12,35.6,cereals and tubers,Maize (white),KG,29.0
9/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Maize,KG,12.53
9/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Maize (white),90 KG,1124.38
9/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Potatoes (Irish),50 KG,336.8
9/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,pulses and nuts,Beans,KG,36.49
9/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,pulses and nuts,Beans (dry),90 KG,2700.0
10/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,cereals and tubers,Maize,KG,12.49
10/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,cereals and tubers,Maize (white),90 KG,1133.0
10/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans,KG,32.63
10/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans (dry),90 KG,3023.75
10/15/2006,Eastern,KITUI,Kitui,-1.37,38.02,cereals and tubers,Maize (white),KG,19.0
10/15/2006,Eastern,KITUI,Kitui,-1.37,38.02,pulses and nuts,Beans (dry),KG,44.0
10/15/2006,Eastern,MARSABIT,Marsabit,2.33,37.98,cereals and tubers,Maize (white),KG,21.0
10/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Bread,400 G,26.0
10/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Maize,KG,14.34
10/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Maize (white),90 KG,1293.25
10/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Potatoes (Irish),50 KG,658.88
10/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Sorghum,90 KG,2133.33
10/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,milk and dairy,"Milk (cow, pasteurized)",500 ML,20.0
10/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,oil and fats,Oil (vegetable),L,120.0
10/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,pulses and nuts,Beans,KG,35.8
10/15/2006,North Eastern,MANDERA,Mandera,3.94,41.86,cereals and tubers,Maize (white),KG,23.0
10/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Maize,KG,13.67
10/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Maize (white),90 KG,1282.0
10/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,pulses and nuts,Beans,KG,30.94
10/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,pulses and nuts,Beans (dry),90 KG,2889.0
10/15/2006,Rift Valley,TURKANA,Lodwar (Turkana),3.12,35.6,cereals and tubers,Maize (white),KG,30.0
10/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Maize (white),90 KG,1053.0
10/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,Sorghum,90 KG,1020.0
10/15/2006,Rift Valley,UASIN GISHU,Eldoret town (Uasin Gishu),0.52,35.28,pulses and nuts,Beans (dry),90 KG,2400.0
11/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,cereals and tubers,Maize,KG,12.68
11/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,cereals and tubers,Maize (white),90 KG,1148.0
11/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans,KG,29.9
11/15/2006,Coast,MOMBASA,Mombasa,-4.05,39.67,pulses and nuts,Beans (dry),90 KG,2774.0
11/15/2006,Eastern,KITUI,Kitui,-1.37,38.02,cereals and tubers,Maize (white),KG,19.0
11/15/2006,Eastern,MARSABIT,Marsabit,2.33,37.98,cereals and tubers,Maize (white),KG,20.0
11/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Bread,400 G,27.0
11/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Maize,KG,14.19
11/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Maize (white),90 KG,1273.6
11/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Potatoes (Irish),50 KG,955.55
11/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,cereals and tubers,Sorghum,90 KG,2108.0
11/15/2006,Nairobi,NAIROBI,Nairobi,-1.28,36.82,pulses and nuts,Beans (dry),90 KG,3032.0
11/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Maize,KG,14.0
11/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Maize (white),90 KG,1400.0
11/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Potatoes (Irish),50 KG,894.44
11/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,cereals and tubers,Sorghum,90 KG,1670.0
11/15/2006,Nyanza,KISUMU,Kisumu,-0.1,34.75,pulses and nuts,Beans,KG,31.47
11/15/2006,Rift Valley,TURKANA,Lodwar (Turkana),3.12,35.6,cereals and tubers,Maize (white),KG,28.0
